1. A castle game about balance through resource management, with boss puzzles instead of boss fights, to recover ancient artifacts.
379. A dream game about survive through co-op quests, using only cards and no direct movement, to stabilize a reactor.
380. A library game about compose through time loops, with boss puzzles instead of boss fights, to unite rival factions.
381. A forest game about merge through tower defense, where you can rewind 3 moves, to solve a royal conspiracy.
382. A desert game about escape through roguelite runs, with permadeath but persistent upgrades, to stabilize a reactor.
383. A ice world game about summon through deckbuilding, with one-button controls, to unite rival factions.
384. A factory game about paint through stealth, where every loss changes the story, to map unknown territory.
385. A space game about explore through tile-matching, inside a collapsing map, to rebuild a broken civilization.
386. A city game about compose through rhythm timing, where you can rewind 3 moves, to map unknown territory.
387. A jungle game about rescue through dialogue choices, where you can rewind 3 moves, to cleanse corrupted zones.
388. A castle game about compose through inventory block puzzle, where gravity flips every 10 seconds, to become guild master.
389. A dream game about hack through logic circuits, with asymmetric multiplayer roles, to survive 100 days.
